pit_tag_id,release_date,release_location,treatment
900067000089501,2016-07-18,20135,exposed
900067000089508,2016-07-18,20135,exposed
900067000089511,2016-07-18,20135,exposed
900067000089514,2016-07-18,20135,exposed
900067000089515,2016-07-18,20135,unexposed
900067000089519,2016-07-18,20135,exposed
900067000089521,2016-07-18,20135,exposed
900067000089524,2016-07-18,20135,unexposed
900067000089537,2016-07-18,20135,unexposed
900067000089548,2016-07-18,20135,exposed
900067000089551,2016-07-18,20135,exposed
900067000089556,2016-07-18,20135,unexposed
900067000089557,2016-07-18,20135,unexposed
900067000089563,2016-07-18,20135,exposed
900067000089567,2016-07-18,20135,exposed
900067000089586,2016-07-18,20135,unexposed
900067000089587,2016-07-18,20135,unexposed
900067000089595,2016-07-18,20135,unexposed
900067000089597,2016-07-18,20135,unexposed
900067000089601,2016-07-18,20135,unexposed
900067000089609,2016-07-18,20135,unexposed
900067000089612,2016-07-18,20135,exposed
900067000089618,2016-07-18,20135,exposed
900067000089625,2016-07-18,20135,exposed
900067000089635,2016-07-18,20135,exposed
900067000089647,2016-07-18,20135,exposed
900067000089656,2016-07-18,20135,exposed
900067000089665,2016-07-18,20135,exposed
900067000089667,2016-07-18,20135,exposed
900067000089675,2016-07-18,20135,exposed
900067000089687,2016-07-18,20135,exposed
900067000089689,2016-07-18,20135,exposed
900067000089693,2016-07-18,20135,exposed
900067000089698,2016-07-18,20135,exposed
900067000089703,2016-07-18,20135,exposed
900067000089707,2016-07-18,20135,exposed
900067000089715,2016-07-18,20135,exposed
900067000089720,2016-07-18,20135,unexposed
900067000089721,2016-07-18,20135,unexposed
900067000089722,2016-07-18,20135,exposed
900067000089726,2016-07-18,20135,exposed
900067000089737,2016-07-18,20135,unexposed
900067000089739,2016-07-18,20135,exposed
900067000089762,2016-07-18,20135,exposed
900067000089767,2016-07-18,20135,exposed
900067000089772,2016-07-18,20135,exposed
900067000089773,2016-07-18,20135,exposed
900067000089781,2016-07-18,20135,exposed
900067000089787,2016-07-18,20135,exposed
900067000089789,2016-07-18,20135,unexposed
900067000089791,2016-07-18,20135,exposed
900067000089792,2016-07-18,20135,exposed
900067000089795,2016-07-18,20135,exposed
900067000089796,2016-07-18,20135,exposed
900067000089811,2016-07-18,20135,exposed
900067000089812,2016-07-18,20135,unexposed
900067000089815,2016-07-18,20135,exposed
900067000089821,2016-07-18,20135,exposed
900067000089822,2016-07-18,20135,exposed
900067000089827,2016-07-18,20135,unexposed
900067000089836,2016-07-18,20135,exposed
900067000089844,2016-07-18,20135,exposed
900067000089859,2016-07-18,20135,unexposed
900067000089870,2016-07-18,20135,unexposed
900067000089876,2016-07-18,20135,exposed
900067000089877,2016-07-18,20135,exposed
900067000089889,2016-07-18,20135,exposed
900067000089890,2016-07-18,20135,exposed
900067000089891,2016-07-18,20135,unexposed
900067000089915,2016-07-18,20135,exposed
900067000089918,2016-07-18,20135,exposed
900067000089926,2016-07-18,20135,unexposed
900067000089929,2016-07-18,20135,exposed
900067000089934,2016-07-18,20135,unexposed
900067000089940,2016-07-18,20135,exposed
900067000089946,2016-07-18,20135,exposed
900067000089971,2016-07-18,20135,exposed
900067000089977,2016-07-18,20135,unexposed
900067000089992,2016-07-18,20135,exposed
900067000089994,2016-07-18,20135,unexposed
900067000089996,2016-07-18,20135,exposed
900067000089999,2016-07-18,20135,exposed
898853549,2017-08-15,20135,unexposed
900067000089628,2017-08-15,20135,exposed
900067000089660,2017-08-15,20135,exposed
900067000089692,2017-08-15,20135,exposed
900067000089713,2017-08-15,20135,exposed
900067000089732,2017-08-15,20135,exposed
900067000089748,2017-08-15,20135,unexposed
900067000089750,2017-08-15,20135,exposed
900067000089778,2017-08-15,20135,exposed
900067000089786,2017-08-15,20135,unexposed
900067000089790,2017-08-15,20135,exposed
900067000089797,2017-08-15,20135,exposed
900067000089808,2017-08-15,20135,unexposed
900067000089813,2017-08-15,20135,exposed
900067000089820,2017-08-15,20135,exposed
900067000089826,2017-08-15,20135,unexposed
900067000089830,2017-08-15,20135,exposed
900067000089832,2017-08-15,20135,unexposed
900067000089845,2017-08-15,20135,exposed
900067000089853,2017-08-15,20135,unexposed
900067000089854,2017-08-15,20135,exposed
900067000089864,2017-08-15,20135,unexposed
900067000089866,2017-08-15,20135,exposed
900067000089879,2017-08-15,20135,exposed
900067000089882,2017-08-15,20135,unexposed
900067000089887,2017-08-15,20135,exposed
900067000089907,2017-08-15,20135,exposed
900067000089922,2017-08-15,20135,exposed
900067000089942,2017-08-15,20135,exposed
900067000089975,2017-08-15,20135,exposed
900067000089978,2017-08-15,20135,exposed
900067000089984,2017-08-15,20135,exposed
900067000089988,2017-08-15,20135,exposed
900067000089995,2017-08-15,20135,exposed
982000410163474,2017-08-15,20135,exposed
982000410163480,2017-08-15,20135,exposed
982000410163518,2017-08-15,20135,exposed
982000410163520,2017-08-15,20135,unexposed
982000410163537,2017-08-15,20135,exposed
982000410163569,2017-08-15,20135,exposed
982000410163570,2017-08-15,20135,unexposed
982000410163571,2017-08-15,20135,exposed
