site_id,survey_date,pit_tag_id,swab_id,bd_load,capture_animal_state,capture_survey_comment
20276,2024-07-16,982091062745653,RKS37873,0,healthy,thin and a bit sluggish when handled. gray pallor. swam fine on release.
20276,2024-07-15,982091062745665,RKS37839,0,healthy,
20276,2024-07-16,982091062745665,NA,NA,healthy,
20276,2023-08-27,982091062745689,RKS37643,0,healthy,
20276,2025-07-13,982091062745764,NA,NA,dead,"badly decomposed, likely died over winter. egg jellies protruding from what remains of abdomen."
20276,2024-07-15,982091062745774,RKS37845,8053.112,sick,frog was quite skinny. lacked righting reflex when flipped on back. seemed very sluggish... slow and weak response when handled
20276,2024-07-16,982091062745774,NA,NA,healthy,
20276,2024-07-16,982091062745807,RKS37871,0,healthy,"seems to be well fed, but lots of loose skin on belly."
20276,2023-08-26,982091062745859,RKS37638,0,healthy,
20276,2024-07-17,982091062745859,RKS37858,0,healthy,
20276,2022-08-25,982091062745874,RKS34216,0,healthy,plump
20276,2024-07-15,982091062745874,RKS37840,0,healthy,
20276,2024-07-17,982091062745874,NA,NA,healthy,
20276,2023-08-25,982091062745916,RKS37634,0,healthy,
20276,2024-07-15,982091062745919,RKS37838,0,healthy,
20276,2025-07-12,982091068034188,NA,NA,dead,likely has been dead for at least 1 month.
20276,2023-08-27,982091068034390,RKS37642,0,healthy,
23110,2023-08-26,982091068034956,NA,NA,dead,
20276,2024-07-17,982091068534697,RKS37860,0,healthy,
20276,2024-07-17,982091068534951,RKS37861,0,healthy,
23110,2024-07-16,982091068535124,RKS37850,0,healthy,
20276,2025-07-13,982091068535124,NA,NA,dead,"very decomposed, likely dead many months, some egg mass visible, recovered pit tag. same as seen on east shore last night but did not scan them."
20276,2024-07-17,982091068535522,RKS37857,0,healthy,
20276,2024-07-15,982091068537251,RKS37846,0,healthy,
20276,2024-07-17,982091068537251,NA,NA,healthy,
23104,2024-07-16,982091068537380,RKS37848,0,healthy,
20276,2023-08-27,982091068538015,NA,NA,healthy,in amplexus
20276,2024-07-16,982091068538015,RKS37872,0,healthy,"skinny frog. when sitting on shore, was holding its rear legs out from the body. chytridiomycosis"
20276,2024-07-17,982091068538015,NA,NA,healthy,
23110,2024-07-17,982091068538065,RKS37874,0,healthy,
20276,2024-07-15,982091068539484,RKS37847,0,healthy,
23110,2024-07-16,982091068543271,RKS37849,0,healthy,
20276,2024-07-17,982091068544102,RKS37859,0,healthy,
23104,2023-08-25,982091068551030,RKS37636,0,healthy,
23104,2023-08-27,982091068551030,NA,NA,healthy,
20276,2024-07-15,982091068554611,NA,NA,dead,unrecognizably deformed and bloated. clumped together with dead eggs
20276,2024-07-15,982091068555704,RKS37843,0,healthy,
20276,2024-07-16,982091068557082,RKS37870,142.752,healthy,"changed recorded sex to male. weakly developed thumb pads, but large forearms."
20276,2024-07-15,982091068557097,RKS37842,0,healthy,
20276,2024-07-17,982091068557097,NA,NA,healthy,
20276,2023-08-26,982091068557403,RKS37639,0,healthy,
20276,2023-08-27,982091068557403,NA,NA,healthy,
20276,2024-07-15,982091068557403,RKS37844,0,healthy,
20276,2025-07-12,982091068557941,RKS38064,29583.76,healthy,NA
20276,2025-07-13,982091068557941,NA,NA,healthy,swabber is staines
20276,2023-08-25,982091068559327,RKS37635,0,healthy,
20276,2023-08-27,982091068559327,NA,NA,healthy,
20276,2024-07-15,982091068559561,RKS37841,0,healthy,
20276,2024-07-15,982091068559959,NA,NA,dead,
20276,2023-08-25,982091068562931,NA,NA,dead,
20276,2024-07-17,982091068563169,RKS37886,0,healthy,
20276,2024-07-15,982091068563346,NA,NA,dead,
20276,2022-08-25,982091068563860,NA,NA,dead,"has been dead for at least 1 week, based on degree of decomposition."
20276,2023-08-26,982091068563965,RKS37640,0,healthy,
20276,2023-08-27,982091068563965,NA,NA,healthy,
23110,2024-07-16,982091068563965,RKS37851,0,healthy,
23110,2024-07-15,982091068564390,RKS37837,0,healthy,"skin has a bit of a grayish hue, noticeably atypical. indication of chytridiomycosis or something else"
20276,2025-07-12,982091076711388,NA,NA,dead,likely died over winter.
23110,2025-07-12,982091076711453,RKS38062,757606.96,healthy,NA
