pit_tag_id,release_date,release_location,treatment
900067000089509,2016-07-18,22008,unexposed
900067000089512,2016-07-18,22008,exposed
900067000089520,2016-07-18,22008,unexposed
900067000089522,2016-07-18,22008,exposed
900067000089526,2016-07-18,22008,exposed
900067000089534,2016-07-18,22008,unexposed
900067000089559,2016-07-18,22008,unexposed
900067000089560,2016-07-18,22008,unexposed
900067000089577,2016-07-18,22008,unexposed
900067000089593,2016-07-18,22008,exposed
900067000089621,2016-07-18,22008,exposed
900067000089636,2016-07-18,22008,exposed
900067000089639,2016-07-18,22008,unexposed
900067000089652,2016-07-18,22008,exposed
900067000089676,2016-07-18,22008,exposed
900067000089680,2016-07-18,22008,exposed
900067000089683,2016-07-18,22008,exposed
900067000089704,2016-07-18,22008,exposed
900067000089709,2016-07-18,22008,exposed
900067000089724,2016-07-18,22008,exposed
900067000089728,2016-07-18,22008,exposed
900067000089741,2016-07-18,22008,exposed
900067000089751,2016-07-18,22008,exposed
900067000089753,2016-07-18,22008,unexposed
900067000089755,2016-07-18,22008,unexposed
900067000089780,2016-07-18,22008,exposed
900067000089783,2016-07-18,22008,exposed
900067000089800,2016-07-18,22008,exposed
900067000089803,2016-07-18,22008,exposed
900067000089817,2016-07-18,22008,exposed
900067000089829,2016-07-18,22008,exposed
900067000089837,2016-07-18,22008,unexposed
900067000089846,2016-07-18,22008,unexposed
900067000089874,2016-07-18,22008,unexposed
900067000089900,2016-07-18,22008,exposed
900067000089902,2016-07-18,22008,exposed
900067000089943,2016-07-18,22008,exposed
900067000089965,2016-07-18,22008,exposed
900067000089969,2016-07-18,22008,exposed
900067000089985,2016-07-18,22008,unexposed
900067000089987,2016-07-18,22008,exposed
900067000089993,2016-07-18,22008,exposed
900067000089528,2017-08-15,22008,exposed
900067000089531,2017-08-15,22008,exposed
900067000089533,2017-08-15,22008,exposed
900067000089549,2017-08-15,22008,unexposed
900067000089572,2017-08-15,22008,exposed
900067000089575,2017-08-15,22008,exposed
900067000089581,2017-08-15,22008,exposed
900067000089600,2017-08-15,22008,exposed
900067000089607,2017-08-15,22008,exposed
900067000089631,2017-08-15,22008,exposed
900067000089633,2017-08-15,22008,exposed
900067000089641,2017-08-15,22008,exposed
900067000089651,2017-08-15,22008,unexposed
900067000089653,2017-08-15,22008,unexposed
900067000089691,2017-08-15,22008,exposed
900067000089730,2017-08-15,22008,exposed
900067000089759,2017-08-15,22008,unexposed
982000410163511,2017-08-15,22008,exposed
