site_id,survey_date,survey_type,primary_period,secondary_period
50183,2022-09-16,zoo_reintroduction,1,0
50183,2023-09-05,cmr,2,1
50183,2023-09-06,cmr,2,2
50183,2023-09-09,zoo_reintroduction,3,0
50183,2023-09-19,cmr,4,1
50183,2023-09-20,cmr,4,2
50183,2024-07-29,cmr,5,1
50183,2024-07-30,cmr,5,2
50183,2024-07-31,cmr,5,3
50183,2024-08-01,zoo_reintroduction,6,0
50183,2024-09-06,cmr,7,1
50183,2024-09-07,cmr,7,2
50183,2024-09-08,cmr,7,3
50183,2025-07-03,cmr,8,1
50183,2025-07-04,cmr,8,2
50183,2025-07-05,cmr,8,3
50183,2025-07-06,zoo_reintroduction,9,0
50183,2025-08-21,cmr,10,1
