site_id,survey_date,primary_period,secondary_period
50783,2018-06-05,1,1
50783,2018-06-06,1,2
50783,2018-06-07,1,3
50783,2018-07-10,2,1
50783,2018-07-11,2,2
50783,2018-07-12,2,3
50783,2018-09-05,3,1
50783,2018-09-06,3,2
50783,2018-09-07,3,3
50783,2019-07-11,4,1
50783,2019-07-12,4,2
50783,2019-07-13,4,3
50783,2019-08-11,5,1
50783,2019-08-12,5,2
50783,2019-08-13,5,3
50783,2020-06-18,6,1
50783,2020-06-19,6,2
50783,2020-06-20,6,3
50783,2020-08-05,7,1
50783,2020-08-06,7,2
50783,2020-08-07,7,3
50783,2021-06-11,8,1
50783,2021-06-12,8,2
50783,2021-06-13,8,3
50783,2022-06-10,9,1
50783,2022-06-11,9,2
50783,2022-06-12,9,3
50783,2023-07-18,10,1
50783,2023-07-19,10,2
50783,2023-07-20,10,3
50783,2024-06-20,11,1
50783,2024-06-21,11,2
50783,2024-06-22,11,3
50783,2025-06-05,12,1
50783,2025-06-06,12,2
50783,2025-06-07,12,3
50783,2026-06-08,13,1
50783,2026-06-09,13,2
50783,2026-06-10,13,3
