primary_period,site_id,survey_date,survey_type,secondary_period
1,50785,2019-07-16,reintroduction,0
2,50785,2019-08-08,cmr,1
2,50785,2019-08-09,cmr,2
3,50785,2020-06-20,cmr,1
3,50785,2020-06-21,cmr,2
4,50785,2020-07-16,reintroduction,0
5,50785,2020-08-09,cmr,1
5,50785,2020-08-10,cmr,2
5,50785,2020-08-11,cmr,3
6,50785,2021-06-15,cmr,1
6,50785,2021-06-16,cmr,2
6,50785,2021-06-17,cmr,3
7,50785,2021-06-18,reintroduction,0
8,50785,2021-08-10,cmr,1
8,50785,2021-08-11,cmr,2
9,50785,2022-06-13,cmr,1
9,50785,2022-06-14,cmr,2
