site_id,survey_date,survey_type,primary_period,secondary_period
84235,2014-06-16,zoo_reintroduction,1,0
84235,2014-07-01,cmr,2,1
84235,2014-07-02,cmr,2,2
84235,2014-07-16,cmr,3,1
84235,2014-08-04,cmr,4,1
84235,2014-09-08,cmr,5,1
84235,2015-06-01,cmr,6,1
84235,2015-06-03,cmr,6,2
84235,2015-06-15,zoo_reintroduction,7,0
84235,2015-06-25,cmr,8,1
84235,2015-07-23,cmr,9,1
84235,2015-08-04,cmr,10,1
84235,2016-07-12,cmr,11,1
84235,2016-07-13,cmr,11,2
84235,2016-07-14,cmr,11,3
84235,2017-08-15,cmr,12,1
84235,2017-08-16,cmr,12,2
84235,2017-08-17,cmr,12,3
84235,2017-09-11,cmr,13,1
84235,2017-09-12,cmr,13,2
84235,2017-09-13,cmr,13,3
84235,2018-07-09,cmr,14,1
84235,2018-07-10,cmr,14,2
84235,2018-07-11,cmr,14,3
84235,2018-08-21,cmr,15,1
84235,2018-08-22,cmr,15,2
84235,2018-08-23,cmr,15,3
84235,2019-08-06,cmr,16,1
84235,2019-08-07,cmr,16,2
84235,2019-08-08,cmr,16,3
84235,2019-08-28,cmr,17,1
84235,2019-08-29,cmr,17,2
84235,2019-08-30,cmr,17,3
84235,2020-07-12,cmr,18,1
84235,2020-07-13,cmr,18,2
84235,2020-07-14,cmr,18,3
84235,2020-07-15,cmr,18,4
84235,2020-09-01,cmr,19,1
84235,2020-09-02,cmr,19,2
84235,2020-09-03,cmr,19,3
