site_id,survey_date,survey_type,visit_status
22008,2016-06-21,cmr,suitable
22008,2016-06-22,cmr,suitable
22008,2016-06-23,cmr,suitable
22008,2016-06-24,cmr,suitable
22008,2016-06-25,cmr,suitable
22008,2016-06-26,cmr,suitable
22008,2016-06-27,cmr,suitable
22008,2016-07-18,reintroduction,NA
22008,2016-07-19,cmr,suitable
22008,2016-07-20,cmr,suitable
22008,2016-07-21,cmr,suitable
22008,2016-07-22,cmr,suitable
22008,2016-07-23,cmr,suitable
22008,2016-07-24,cmr,suitable
22008,2016-08-14,cmr,suitable
22008,2016-08-15,cmr,suitable
22008,2016-08-16,cmr,suitable
22008,2016-08-17,cmr,suitable
22008,2016-09-07,cmr,suitable
22008,2016-09-08,cmr,suitable
22008,2016-09-09,cmr,suitable
22008,2017-08-08,cmr,suitable
22008,2017-08-09,cmr,suitable
22008,2017-08-10,cmr,suitable
22008,2017-08-15,reintroduction,NA
22008,2017-09-12,cmr,suitable
22008,2017-09-13,cmr,suitable
22008,2017-09-14,cmr,suitable
22008,2018-06-28,cmr,suitable
22008,2018-06-29,cmr,suitable
22008,2018-06-30,cmr,suitable
22008,2018-09-03,cmr,suitable
22008,2018-09-04,cmr,suitable
22008,2018-09-05,cmr,suitable
22008,2019-08-19,cmr,suitable
22008,2019-08-20,cmr,suitable
22008,2019-08-21,cmr,suitable
22008,2020-07-14,cmr,suitable
22008,2020-07-15,cmr,suitable
22008,2020-07-16,cmr,suitable
22008,2021-07-22,cmr,suitable
22008,2021-07-23,cmr,suitable
22008,2022-06-17,cmr,suitable
22008,2022-06-18,cmr,suitable
