years_since_introduction,release_date,lo_survival,median_survival,hi_survival
0,2024-07-19,0.08695652173913043,0.15217391304347827,0.2717391304347826
0,2026-07-17,0.03529411764705882,0.10588235294117647,0.23529411764705882
1,2021-07-28,0.3333333333333333,0.48148148148148145,0.8148148148148148
1,2022-07-21,0,0.039473684210526314,0.14473684210526316
1,2023-08-28,0,0.011494252873563218,0.05172413793103448
1,2024-07-19,0,0,0.03260869565217391
2,2021-07-28,0.1111111111111111,0.14814814814814814,0.2222222222222222
2,2022-07-21,0,0,0.008771929824561403
2,2023-08-28,0,0,0
2,2024-07-19,0,0,0.014492753623188406
3,2021-07-28,0.04938271604938271,0.06172839506172839,0.08641975308641975
3,2022-07-21,0,0,0
3,2023-08-28,0,0,0
4,2021-07-28,0.037037037037037035,0.037037037037037035,0.037037037037037035
4,2022-07-21,0,0,0
5,2021-07-28,0.037037037037037035,0.037037037037037035,0.037037037037037035
