years_since_introduction,release_date,pit_tag_id,lo_survival,median_survival,hi_survival
1,2022-07-21,900043000215607,0,0,0
1,2022-07-21,900043000215610,0,0,0
1,2022-07-21,900043000215625,0,0,0
1,2022-07-21,900043000215628,0,0,0
1,2022-07-21,900043000215634,0,0,0
1,2022-07-21,900043000215642,0,0,0
1,2022-07-21,900043000215644,0,0,0
1,2022-07-21,900043000215646,0,0,0
1,2022-07-21,900043000215658,0,0,0
1,2022-07-21,900043000215660,0,0,0
1,2022-07-21,900043000215675,0,0,0
1,2022-07-21,900043000215680,0,0,0
1,2022-07-21,900043000215681,0,0,0
1,2022-07-21,900043000215682,0,0,0
1,2022-07-21,900043000215688,0,0,0
1,2022-07-21,900043000215691,0,0,0
1,2022-07-21,900043000215696,0,0,0
1,2022-07-21,900043000215699,0,0,0
1,2022-07-21,900043000215831,0,0,0
1,2022-07-21,900043000215843,0,0,0
1,2022-07-21,900043000215883,0,0,0
1,2022-07-21,900043000215889,0,0,0
1,2022-07-21,900043000215895,0,0,0
1,2022-07-21,900043000217200,0,0,0
1,2022-07-21,900043000217201,0,0,0
1,2022-07-21,900043000217203,0,0,0
1,2022-07-21,900043000217204,0,0,0
1,2022-07-21,900043000217206,0,0,0
1,2022-07-21,900043000217218,0,0,0
1,2022-07-21,900043000217220,0,0,0
1,2022-07-21,900043000217227,0,0,0
1,2022-07-21,900043000217229,0,0,0
1,2022-07-21,900043000217231,0,0,0
1,2022-07-21,900043000217232,0,0,0
1,2022-07-21,900043000217234,0,0,0
1,2022-07-21,900043000217246,0,0,0
1,2022-07-21,900043000217247,0,0,0
1,2022-07-21,900043000217248,0,0,0
1,2022-07-21,900043000217257,0,0,0
1,2022-07-21,900043000217263,0,0,0
1,2022-07-21,900043000217264,0,0,0
1,2022-07-21,900043000217270,0,0,0
1,2022-07-21,900043000217279,0,0,0
1,2022-07-21,900043000217284,0,0,0
1,2022-07-21,900043000217286,0,0,0
1,2022-07-21,900043000217287,0,0,0
1,2022-07-21,900043000217296,0,0,0
1,2022-07-21,900043000217299,0,0,0
1,2022-07-21,900043000217310,0,0,0
1,2022-07-21,900043000217312,0,0,0
1,2022-07-21,900043000217313,0,0,0
1,2022-07-21,900043000217318,0,0,0
1,2022-07-21,900043000217319,0,0,0
1,2022-07-21,900043000217321,0,0,0
1,2022-07-21,900043000217323,0,0,0
1,2022-07-21,900043000217325,0,0,0
1,2022-07-21,900043000217330,0,0,0
1,2022-07-21,900043000217334,0,0,0
1,2022-07-21,900043000217340,0,0,0
1,2022-07-21,900043000217344,0,0,0
1,2022-07-21,900043000217346,0,0,0
1,2022-07-21,900043000217355,0,0,0
1,2022-07-21,900043000217361,0,0,0
1,2022-07-21,900043000217364,0,0,0
1,2022-07-21,900043000217370,0,0,0
1,2022-07-21,900043000217372,0,0,0
1,2022-07-21,900043000217384,0,0,0
1,2022-07-21,900043000217385,0,0,0
